,StartDate2,EndDate1,StartDate1,EndDate2,WarNum,WarName,WarType,ccode,StateName,Side,TransFrom,WhereFought,Initiator,Outcome,TransTo,BatDeath,Version,SameSide,OppositeSide,AlliesWithinWar,AlliesBeforeWar,AlliesAfterWar,AlliesGainedDuringWar,AlliesLostDuringWar,AlliesGained2YearsBeforeWar,AlliesLost2YearsBeforeWar,AlliesGained2YearsAfterWar,AlliesLost2YearsAfterWar
320,2008-08-08,1999-06-10,1999-03-24,2008-08-08,221,War for Kosovo,1,2,United States of America,1,900,2,1,1,-8,2,4,"[640L, 325L, 200L, 210L, 220L, 255L]",[345L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
321,2008-08-08,1999-06-10,1999-03-24,2008-08-08,221,War for Kosovo,1,210,Netherlands,1,900,2,1,1,-8,0,4,"[640L, 325L, 200L, 2L, 220L, 255L]",[345L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
322,2008-08-08,1999-06-10,1999-03-24,2008-08-08,221,War for Kosovo,1,220,France,1,900,2,1,1,-8,0,4,"[640L, 325L, 200L, 2L, 210L, 255L]",[345L],[620L],[620L],[620L],['None'],['None'],['None'],['None'],['None'],['None']
323,2008-08-08,1999-06-10,1999-03-24,2008-08-08,221,War for Kosovo,1,345,Yugoslavia,2,900,2,2,2,-8,5000,4,[],"[640L, 325L, 200L, 2L, 210L, 220L, 255L]",['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
324,2008-08-08,1999-06-10,1999-03-24,2008-08-08,221,War for Kosovo,1,255,Germany,1,900,2,1,1,-8,0,4,"[640L, 325L, 200L, 2L, 210L, 220L]",[345L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
325,2008-08-08,1999-07-17,1999-05-08,2008-08-08,223,Kargil War,1,750,India,1,-8,7,2,1,-8,474,4,[],[770L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
326,2008-08-08,1999-07-17,1999-05-08,2008-08-08,223,Kargil War,1,770,Pakistan,2,-8,7,1,2,-8,698,4,[],[750L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
327,2008-08-08,2001-12-22,2001-11-15,2008-08-08,225,Invasion of Afghanistan,1,20,Canada,1,851,7,2,4,481,0,4,"[220L, 200L, 2L, 900L]",[700L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
328,2008-08-08,2001-12-22,2001-10-21,2008-08-08,225,Invasion of Afghanistan,1,220,France,1,851,7,2,4,481,0,4,"[20L, 200L, 2L, 900L]",[700L],[620L],[620L],[620L],['None'],['None'],['None'],['None'],['None'],['None']
329,2008-08-08,2001-12-22,2001-10-07,2008-08-08,225,Invasion of Afghanistan,1,200,United Kingdom,1,851,7,1,4,481,0,4,"[20L, 220L, 2L, 900L]",[700L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
330,2008-08-08,2001-12-22,2001-10-07,2008-08-08,225,Invasion of Afghanistan,1,2,United States of America,1,851,7,1,4,481,2,4,"[20L, 220L, 200L, 900L]",[700L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
331,2008-08-08,2001-12-22,2001-10-17,2008-08-08,225,Invasion of Afghanistan,1,900,Australia,1,851,7,2,4,481,0,4,"[20L, 220L, 200L, 2L]",[700L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
332,2008-08-08,2001-12-22,2001-10-07,2008-08-08,225,Invasion of Afghanistan,1,700,Afghanistan,2,851,7,2,4,481,4000,4,[],"[20L, 220L, 200L, 2L, 900L]",['None'],['None'],['None'],['None'],['None'],['None'],['None'],"[630L, 701L, 702L, 704L, 710L, 770L]",['None']
333,2008-08-08,2003-05-02,2003-03-19,2008-08-08,227,Invasion of Iraq,1,900,Australia,1,-8,6,1,4,482,0,4,"[200L, 2L]",[645L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
334,2008-08-08,2003-05-02,2003-03-19,2008-08-08,227,Invasion of Iraq,1,200,United Kingdom,1,-8,6,1,4,482,33,4,"[900L, 2L]",[645L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
335,2008-08-08,2003-05-02,2003-03-19,2008-08-08,227,Invasion of Iraq,1,2,United States of America,1,-8,6,1,4,482,140,4,"[900L, 200L]",[645L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
336,2008-08-08,2003-05-02,2003-03-19,2008-08-08,227,Invasion of Iraq,1,645,Iraq,2,-8,6,2,4,482,7000,4,[],"[900L, 200L, 2L]",['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
