,MemStartDate,AllStartDate,MemEndDate,AllEndDate,version4id,ccode,state_name,ss_type,left_censor,right_censor,defense,neutrality,nonaggression,entente,version
39,1832-10-22 00:00:00,1832-10-22 00:00:00,1833-05-21 00:00:00,1833-05-21 00:00:00,10,200,United Kingdom,Type I: Defense Pact,0.0,0,1,0,0.0,0.0,4.1
40,1832-10-22 00:00:00,1832-10-22 00:00:00,1833-05-21 00:00:00,1833-05-21 00:00:00,10,220,France,Type I: Defense Pact,0.0,0,1,0,0.0,0.0,4.1
41,1832-10-11 00:00:00,1832-11-10 00:00:00,1833-05-21 00:00:00,1833-05-21 00:00:00,11,211,Belgium,Type I: Defense Pact,0.0,0,0,0,0.0,0.0,4.1
42,1832-10-11 00:00:00,1832-11-10 00:00:00,1833-05-21 00:00:00,1833-05-21 00:00:00,11,220,France,Type I: Defense Pact,0.0,0,1,0,0.0,0.0,4.1
43,1833-09-03 00:00:00,1833-03-09 00:00:00,1839-04-19 00:00:00,1839-04-19 00:00:00,12,255,Germany,Type I: Defense Pact,0.0,0,1,0,0.0,0.0,4.1
44,1833-09-03 00:00:00,1833-03-09 00:00:00,1839-04-19 00:00:00,1839-04-19 00:00:00,12,300,Austria-Hungary,Type I: Defense Pact,0.0,0,1,0,0.0,0.0,4.1
45,1833-09-03 00:00:00,1833-03-09 00:00:00,1839-04-19 00:00:00,1839-04-19 00:00:00,12,365,Russia,Type I: Defense Pact,0.0,0,1,0,0.0,0.0,4.1
46,1833-03-28 00:00:00,1833-03-28 00:00:00,1848-01-12 00:00:00,1848-01-12 00:00:00,13,325,Italy,Type I: Defense Pact,0.0,0,1,0,0.0,0.0,4.1
47,1833-03-28 00:00:00,1833-03-28 00:00:00,1848-01-12 00:00:00,1848-01-12 00:00:00,13,329,Two Sicilies,Type I: Defense Pact,0.0,0,1,0,0.0,0.0,4.1
48,1833-08-07 00:00:00,1833-07-08 00:00:00,1841-07-13 00:00:00,1841-07-13 00:00:00,14,365,Russia,Type I: Defense Pact,0.0,0,1,0,0.0,1.0,4.1
